title,company,location,description,posted_at,source,source_url,scraped_at
Full Stack Developer,PT Marktel,Bandung,"RingkasanMenjadi bagian tim R&amp;D kami, bersama dengan tim software developer dan software engineer merancang UI (user interface), mengembangkan...",2022-01-05T05:20:36Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-developer-3743140,2026-07-19T00:00:00Z
Front-End Developer,PT CITTA PARAMA GUNA,Jakarta Raya,"Kualifikasi: Strong understanding in JavaScript libraries (e.g. React.js, Vue.js or Angular). Strong understanding in CSS libraries (e.g. Bootstrap)....",2022-01-05T05:16:07Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/front-end-developer-3743132,2026-07-19T00:00:00Z
Staff Business Analyst,Indofood Group,Jakarta Raya,"Job Description : Compiling, updating and preparing standard sales and marketing reports and monitoring progress Analyze sales data and give...",2022-01-05T04:33:33Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/staff-business-analyst-3743015,2026-07-19T00:00:00Z
Data Analyst Internship,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Jakarta Utara,Job Description: Writing script to analyze data and perform specific data queries by using standard SQL &amp; Excel. Developing &amp; implementing...,2022-01-05T04:11:15Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-analyst-internship-3742927,2026-07-19T00:00:00Z
Business Analyst Head,PT Cyberquote Indonesia,Jakarta Pusat,"Requirements:-         Sarjana Ekonomi, Mathematic, Studi Pembangunan-         Berpengalaman minimal 2 tahun-         Diutamakan yang memiliki...",2022-01-05T04:10:32Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-analyst-head-3742925,2026-07-19T00:00:00Z
Data Analyst,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Jakarta Utara,"Requirements: Knowledge and experience with SQL, Microsoft SQL Server, or PostgreSQL Knowledge and experience on using Excel (IF, Pivot, Vlookup)...",2022-01-05T04:10:13Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-analyst-3742923,2026-07-19T00:00:00Z
Business Analyst Head,PT Cyberquote Indonesia,Jakarta Pusat,"Requirements:-         Sarjana Ekonomi, Mathematic, Studi Pembangunan-         Berpengalaman minimal 2 tahun-         Diutamakan yang memiliki...",2022-01-05T04:10:32Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-analyst-head-3742925,2026-07-19T00:00:00Z
Data Analyst,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",Jakarta Utara,"Requirements: Knowledge and experience with SQL, Microsoft SQL Server, or PostgreSQL Knowledge and experience on using Excel (IF, Pivot, Vlookup)...",2022-01-05T04:10:13Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-analyst-3742923,2026-07-19T00:00:00Z
Backend Developer,PT CITTA PARAMA GUNA,Jakarta Raya,"Kualifikasi : Storong understanding in J2EE, Spring framework and MVC Concept Strong understanding in Rest API and JSON Good understanding in Java web...",2022-01-05T03:55:47Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/backend-developer-3742870,2026-07-19T00:00:00Z
"Software Engineer, Full-stack",DOCDOC PTE.LTD,Jakarta Selatan,"Responsibilities: Develop, maintain and optimize secure and scalable applications in an agile environment, and follow industry best practices Work...",2022-01-05T03:25:10Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-full-stack-3742752,2026-07-19T00:00:00Z
Full Stack Developer,DV9 International Pte Ltd,"Jawa Tengah,Jawa Timur,Jawa Barat",• Write high quality and maintainable code.• Experience in developing Laravel based web applications• Experience with MYSQL database• Experience with...,2022-01-05T03:22:29Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/full-stack-developer-9161068/origin/sg,2026-07-19T00:00:00Z
Senior Software Engineer - Store Channels,Xendit,Jakarta Raya,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...",2022-01-06T15:47:38Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/senior-software-engineer-store-channels-1029962182,2026-07-19T00:00:00Z
Business Data Analyst,PT Investree Radhika Jaya,Jakarta Raya,Job Responsibility Represent the Data &amp; Analytics Team for Investree Philippines (remote working arrangement) to proactively engage with...,2022-01-06T15:45:19Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/business-data-analyst-1030064652,2026-07-19T00:00:00Z
Software Engineer - Platform Service,Xendit,Jakarta Raya,"Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...",2022-01-06T15:43:22Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-platform-service-1029875456,2026-07-19T00:00:00Z
Data Scientist,Phillip Morris Latinoamérica,Indonesia,MAKE HISTORY WITH US! We’ve chosen to do something incredible. We’re totally transforming our business and building our future on smoke-free products...,2022-01-06T15:42:59Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/data-scientist-1029911534,2026-07-19T00:00:00Z
Commercial Ecosystem Data Scientist,Phillip Morris Latinoamérica,Indonesia,MAKE HISTORY WITH US! We’ve chosen to do something incredible. We’re totally transforming our business and building our future on smoke-free products...,2022-01-06T15:42:58Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/commercial-ecosystem-data-scientist-1029911516,2026-07-19T00:00:00Z
Sr. Node JS software developer,PT Moka Teknologi Indonesia,Jakarta Barat,"The RoleYou are passionate about performance, accessibility, and building for the long-term. You are a product builder, who loves solving challenging...",2022-01-06T15:28:32Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/sr-node-js-software-developer-1030073865,2026-07-19T00:00:00Z
Software Engineer (.Net),Total eBiz Solutions,Indonesia,"Degree in Computer Science, Information Technology or equivalent. Candidate should have minimum 2 years’ experience in development of information...",2022-01-06T15:19:37Z,Jobstreet Indonesia Dataset (public snapshot),https://www.jobstreet.co.id/id/job/software-engineer-net-1030031242,2026-07-19T00:00:00Z
